Product Id;Product Handle;Product Title;Product Subtitle;Product Description;Product Status;Product Thumbnail;Product Weight;Product Length;Product Width;Product Height;Product HS Code;Product Origin Country;Product MID Code;Product Material;Product Collection Title;Product Collection Handle;Product Type;Product Tags;Product Category 1;Product Category 2;Product Category 3;Product Category 4;Product Category 5;Product Category 6;Product Category 7;Product Category 8;Product Category 9;Product Category 10;Product Sales Channel Id;Product Discountable;Product External Id;Product Profile Name;Product Profile Type;Variant Id;Variant Title;Variant SKU;Variant Barcode;Variant Inventory Quantity;Variant Allow Backorder;Variant Manage Inventory;Variant Weight;Variant Length;Variant Width;Variant Height;Variant HS Code;Variant Origin Country;Variant MID Code;Variant Material;Price EUR;Price USD;Option 1 Name;Option 1 Value;Image 1 Url;Image 2 Url
;morbid-cruelty-samudaripen;Samudaripen;Morbid Cruelty;"Second full-length album by Chilean old-school death metal duo Morbid Cruelty, now available in the US on Remorseless Records.\n\n9 tracks of ripping old school riffs, inspired by the classics with their own added flair. 44 minutes of delicious death metal, including a cover of the legendary Mefisto.\n\nFor fans of: early Pestilence, Deicide, Morbid Angel (Formulas Fatal to the Flesh era), etc.\n\n\n\nNote: This is a pre-order; CDs and tapes are expected to ship by the end of October, specific date TBD. Any order containing a pre-order will not be shipped until all items are in stock.";published;https://assets.bigcartel.com/product_images/411995406/Mockup2.jpg?auto=format&fit=max&h=1000&w=1000;;;;;;;;;;;music_release;;pcat_01K8RYX4EG53A2TV0BWKAAZDPN;pcat_01K8RYXP4EPJJPME5FVE2WM8AX;pcat_01K8RYX52WARJCK00H5SR09BCR;pcat_01K8RYX4ZFA6S7X2A1KS1244KM;;;;;;;sc_01K05XHYYRMX4YMQWAMF17YE86;true;115651680;default;default;;CD;MORBID-CRUELTY-SAMUDARIPEN-CD;;152;true;true;;;;;;;;;;1300;Format;CD;https://assets.bigcartel.com/product_images/411995406/Mockup2.jpg?auto=format&fit=max&h=1000&w=1000;
;morbid-cruelty-samudaripen;Samudaripen;Morbid Cruelty;"Second full-length album by Chilean old-school death metal duo Morbid Cruelty, now available in the US on Remorseless Records.\n\n9 tracks of ripping old school riffs, inspired by the classics with their own added flair. 44 minutes of delicious death metal, including a cover of the legendary Mefisto.\n\nFor fans of: early Pestilence, Deicide, Morbid Angel (Formulas Fatal to the Flesh era), etc.\n\n\n\nNote: This is a pre-order; CDs and tapes are expected to ship by the end of October, specific date TBD. Any order containing a pre-order will not be shipped until all items are in stock.";published;https://assets.bigcartel.com/product_images/411995406/Mockup2.jpg?auto=format&fit=max&h=1000&w=1000;;;;;;;;;;;music_release;;pcat_01K8RYX4EG53A2TV0BWKAAZDPN;pcat_01K8RYXP4EPJJPME5FVE2WM8AX;pcat_01K8RYX52WARJCK00H5SR09BCR;pcat_01K8RYX4ZFA6S7X2A1KS1244KM;;;;;;;sc_01K05XHYYRMX4YMQWAMF17YE86;true;115651680;default;default;;Cassette;MORBID-CRUELTY-SAMUDARIPEN-CASSETTE;;60;true;true;;;;;;;;;;900;Format;Cassette;https://assets.bigcartel.com/product_images/411995406/Mockup2.jpg?auto=format&fit=max&h=1000&w=1000;
;mass-49-no-longer-human;No Longer Human;Mass-49;"Debut EP by Indonesian death-grinders Mass-49, available on CD and tape by Remorseless Records\n\n7 tracks of blistering death grind, packed with riffs, blasts, and everything nasty. The band has really made a name for itself with this release and their near-constant touring, and their music is now available stateside for the first time";published;https://assets.bigcartel.com/product_images/411995271/COVER+EP.jpg?auto=format&fit=max&h=1000&w=1000;;;;;;;;;;;music_release;;pcat_01K8RYX4EG53A2TV0BWKAAZDPN;pcat_01K8RYXN5CMSGVV8TE4MA34MEJ;pcat_01K8RYX52WARJCK00H5SR09BCR;pcat_01K8RYX4ZFA6S7X2A1KS1244KM;pcat_01K8RYX59V56GJWATG39CG145P;;;;;;sc_01K05XHYYRMX4YMQWAMF17YE86;true;114350640;default;default;;CD;MASS-49-NO-LONGER-HUMAN-CD;;241;true;true;;;;;;;;;;1200;Format;CD;https://assets.bigcartel.com/product_images/411995271/COVER+EP.jpg?auto=format&fit=max&h=1000&w=1000;https://assets.bigcartel.com/product_images/407603820/Mass49_Image.jpg?auto=format&fit=max&h=1000&w=1000
;mass-49-no-longer-human;No Longer Human;Mass-49;"Debut EP by Indonesian death-grinders Mass-49, available on CD and tape by Remorseless Records\n\n7 tracks of blistering death grind, packed with riffs, blasts, and everything nasty. The band has really made a name for itself with this release and their near-constant touring, and their music is now available stateside for the first time";published;https://assets.bigcartel.com/product_images/411995271/COVER+EP.jpg?auto=format&fit=max&h=1000&w=1000;;;;;;;;;;;music_release;;pcat_01K8RYX4EG53A2TV0BWKAAZDPN;pcat_01K8RYXN5CMSGVV8TE4MA34MEJ;pcat_01K8RYX52WARJCK00H5SR09BCR;pcat_01K8RYX4ZFA6S7X2A1KS1244KM;pcat_01K8RYX59V56GJWATG39CG145P;;;;;;sc_01K05XHYYRMX4YMQWAMF17YE86;true;114350640;default;default;;Cassette;MASS-49-NO-LONGER-HUMAN-CASSETTE;;212;true;true;;;;;;;;;;800;Format;Cassette;https://assets.bigcartel.com/product_images/411995271/COVER+EP.jpg?auto=format&fit=max&h=1000&w=1000;https://assets.bigcartel.com/product_images/407603820/Mass49_Image.jpg?auto=format&fit=max&h=1000&w=1000
;mosara-rumour-of-a-funeral;Rumour of a Funeral;Mosara;"The latest offering by the atavistic doom veterans from Phoenix, Arizona, on CD and tape by Remorseless Records. These four massive tracks combine hammering and groove laden rhythms with wretched and bleak layers of sound.\n\nThe emotion that secretes from the sonically remorseless and lengthy psalms is palpable. Founding member Tony had this to say: ""This is the album that we dug deep on. Two years of my own personal turmoil, the band banging our heads against the wall and against each other, clawing, writing, and writing until we dug deep into the depths of our talent and still dug deeper. I consider this our proudest moment and can't wait for everyone to listen to it.""";published;https://assets.bigcartel.com/product_images/405982818/Mosara+Rumour+of+a+Funeral+-+Front+Cover.jpg?auto=format&fit=max&h=1000&w=1000;;;;;;;;;;;music_release;;pcat_01K8RYX4EG53A2TV0BWKAAZDPN;pcat_01K8RYXPMX2ZM75PQK59DW8T8N;pcat_01K8RYX56A3JFNYSMY8QZ8199P;pcat_01K8RYX4ZFA6S7X2A1KS1244KM;pcat_01K8RYX5D4P6XWD3FNGGY2KFD8;;;;;;sc_01K05XHYYRMX4YMQWAMF17YE86;true;113879373;default;default;;CD;MOSARA-RUMOUR-OF-A-FUNERAL-CD;;35;true;true;;;;;;;;;;1300;Format;CD;https://assets.bigcartel.com/product_images/405982818/Mosara+Rumour+of+a+Funeral+-+Front+Cover.jpg?auto=format&fit=max&h=1000&w=1000;https://assets.bigcartel.com/product_images/407338221/20250621_155534.jpg?auto=format&fit=max&h=1000&w=1000
;mosara-rumour-of-a-funeral;Rumour of a Funeral;Mosara;"The latest offering by the atavistic doom veterans from Phoenix, Arizona, on CD and tape by Remorseless Records. These four massive tracks combine hammering and groove laden rhythms with wretched and bleak layers of sound.\n\nThe emotion that secretes from the sonically remorseless and lengthy psalms is palpable. Founding member Tony had this to say: ""This is the album that we dug deep on. Two years of my own personal turmoil, the band banging our heads against the wall and against each other, clawing, writing, and writing until we dug deep into the depths of our talent and still dug deeper. I consider this our proudest moment and can't wait for everyone to listen to it.""";published;https://assets.bigcartel.com/product_images/405982818/Mosara+Rumour+of+a+Funeral+-+Front+Cover.jpg?auto=format&fit=max&h=1000&w=1000;;;;;;;;;;;music_release;;pcat_01K8RYX4EG53A2TV0BWKAAZDPN;pcat_01K8RYXPMX2ZM75PQK59DW8T8N;pcat_01K8RYX56A3JFNYSMY8QZ8199P;pcat_01K8RYX4ZFA6S7X2A1KS1244KM;pcat_01K8RYX5D4P6XWD3FNGGY2KFD8;;;;;;sc_01K05XHYYRMX4YMQWAMF17YE86;true;113879373;default;default;;Cassette;MOSARA-RUMOUR-OF-A-FUNERAL-CASSETTE;;182;true;true;;;;;;;;;;900;Format;Cassette;https://assets.bigcartel.com/product_images/405982818/Mosara+Rumour+of+a+Funeral+-+Front+Cover.jpg?auto=format&fit=max&h=1000&w=1000;https://assets.bigcartel.com/product_images/407338221/20250621_155534.jpg?auto=format&fit=max&h=1000&w=1000
;exhumacion-profana-mcb-p;MCB&P;Exhumación Profana;"Debut full-length by the Colombian duo Exhumación Profana, available on CD and tape from Remorseless Records. 9 tracks of chaotic, warlike, and profane material!\n\nExhumación Profana plays music with pure energy, embodying the violent and warlike atmosphere that envelopes Colombia. Founded in late 2019, they've made a name for themselves by touring various cities across the country. They call themselves ""Old Skull"" Metal, paying tribute to the victims of the armed conflict, the internal war, and the bloody history that defines us.\n\n\n\n<iframe style=""border: 0; width: 100%; height: 120px;"" src=""https://bandcamp.com/EmbeddedPlayer/album=2441017767/size=large/bgcol=181a1b/linkcol=056cc4/tracklist=false/artwork=small/track=4122728632/transparent=true/"" seamless><a href=""https://ibahellmetalcol.bandcamp.com/album/mcb-p"">MCB&amp;P by Exhumación Profana</a></iframe>";published;https://assets.bigcartel.com/product_images/403535691/COVER+ALBUM.jpg?auto=format&fit=max&h=1000&w=1000;;;;;;;;;;;music_release;;pcat_01K8RYX4EG53A2TV0BWKAAZDPN;pcat_01K8RYXF6JEQD9TE7PY4SYXCZ8;pcat_01K8RYX52WARJCK00H5SR09BCR;pcat_01K8RYX4ZFA6S7X2A1KS1244KM;;;;;;;sc_01K05XHYYRMX4YMQWAMF17YE86;true;112894473;default;default;;CD;EXHUMACION-PROFANA-MCB-P-CD;;192;true;true;;;;;;;;;;1300;Format;CD;https://assets.bigcartel.com/product_images/403535691/COVER+ALBUM.jpg?auto=format&fit=max&h=1000&w=1000;https://assets.bigcartel.com/product_images/403535724/20250425_092153.jpg?auto=format&fit=max&h=1000&w=1000
;exhumacion-profana-mcb-p;MCB&P;Exhumación Profana;"Debut full-length by the Colombian duo Exhumación Profana, available on CD and tape from Remorseless Records. 9 tracks of chaotic, warlike, and profane material!\n\nExhumación Profana plays music with pure energy, embodying the violent and warlike atmosphere that envelopes Colombia. Founded in late 2019, they've made a name for themselves by touring various cities across the country. They call themselves ""Old Skull"" Metal, paying tribute to the victims of the armed conflict, the internal war, and the bloody history that defines us.\n\n\n\n<iframe style=""border: 0; width: 100%; height: 120px;"" src=""https://bandcamp.com/EmbeddedPlayer/album=2441017767/size=large/bgcol=181a1b/linkcol=056cc4/tracklist=false/artwork=small/track=4122728632/transparent=true/"" seamless><a href=""https://ibahellmetalcol.bandcamp.com/album/mcb-p"">MCB&amp;P by Exhumación Profana</a></iframe>";published;https://assets.bigcartel.com/product_images/403535691/COVER+ALBUM.jpg?auto=format&fit=max&h=1000&w=1000;;;;;;;;;;;music_release;;pcat_01K8RYX4EG53A2TV0BWKAAZDPN;pcat_01K8RYXF6JEQD9TE7PY4SYXCZ8;pcat_01K8RYX52WARJCK00H5SR09BCR;pcat_01K8RYX4ZFA6S7X2A1KS1244KM;;;;;;;sc_01K05XHYYRMX4YMQWAMF17YE86;true;112894473;default;default;;Cassette;EXHUMACION-PROFANA-MCB-P-CASSETTE;;163;true;true;;;;;;;;;;900;Format;Cassette;https://assets.bigcartel.com/product_images/403535691/COVER+ALBUM.jpg?auto=format&fit=max&h=1000&w=1000;https://assets.bigcartel.com/product_images/403535724/20250425_092153.jpg?auto=format&fit=max&h=1000&w=1000
;vile-apparition-malignity;Malignity;Vile Apparition;The highly anticipated sophomore full-length by Melbourne's death metal quartet Vile Apparition. Mechanically precise drumming violence and crazed riffs fire you into an onslaught of malevolent extremity with intense, guttural vocals spewing through the mix. The ruthless aggression shown from the very beginning will transport you back to the brutality of the 90s with a modern twist showcasing only the most gruesomely barbaric ideas from the band.;published;https://assets.bigcartel.com/product_images/412544760/Vile+Apparition+Malignity+LP+Vinyl+12+Front.jpg?auto=format&fit=max&h=1000&w=1000;;;;;;;;;;;music_release;;pcat_01K8RYX4EG53A2TV0BWKAAZDPN;pcat_01K8RYXZA8D52R05CZE8ZCFT9M;pcat_01K8RYX52WARJCK00H5SR09BCR;pcat_01K8RYX4ZFA6S7X2A1KS1244KM;;;;;;;sc_01K05XHYYRMX4YMQWAMF17YE86;true;115815030;default;default;;LP;VILE-APPARITION-MALIGNITY-LP;;67;true;true;;;;;;;;;;2500;Format;LP;https://assets.bigcartel.com/product_images/412544760/Vile+Apparition+Malignity+LP+Vinyl+12+Front.jpg?auto=format&fit=max&h=1000&w=1000;https://assets.bigcartel.com/product_images/412544754/Vile+Apparition+Malignity+LP+Vinyl+12+Back.jpg?auto=format&fit=max&h=1000&w=1000
;filth-time-to-rot;Time to Rot;Filth;Debut full-length by the rotten German trio Filth. Fouling the air with a disturbing ambience, the disquiet of this record leads into a gloomy and sepulchral yet bludgeoning offering of death metal. Abhorrent riffing and ghastly vocals mold together in foul fashion atop powerful drums, creating a fetid atmosphere of swirling, mid-paced groove;published;https://assets.bigcartel.com/product_images/412544598/Filth+Time+to+Rot+LP+Vinyl+12+Front.jpg?auto=format&fit=max&h=1000&w=1000;;;;;;;;;;;music_release;;pcat_01K8RYX4EG53A2TV0BWKAAZDPN;pcat_01K8RYXFMBP1AZEFF37VBBEZY2;pcat_01K8RYX52WARJCK00H5SR09BCR;pcat_01K8RYX4ZFA6S7X2A1KS1244KM;;;;;;;sc_01K05XHYYRMX4YMQWAMF17YE86;true;115814994;default;default;;LP;FILTH-TIME-TO-ROT-LP;;205;true;true;;;;;;;;;;2500;Format;LP;https://assets.bigcartel.com/product_images/412544598/Filth+Time+to+Rot+LP+Vinyl+12+Front.jpg?auto=format&fit=max&h=1000&w=1000;https://assets.bigcartel.com/product_images/412544592/Filth+Time+to+Rot+LP+Vinyl+12+Back.jpg?auto=format&fit=max&h=1000&w=1000
